Seq1	Seq2	Distance
SRR1553816	SRR1556293	45
SRR1553816	SRR1556294	45
SRR1553816	SRR1556295	45
SRR1553816	SRR1556296	1
SRR1553816	SRR1556297	45
SRR1553820	SRR1553725	11425
SRR1553820	SRR1553739	8
SRR1553820	SRR1553740	0
SRR1553820	SRR1553750	7
SRR1553820	SRR1553756	0
SRR1553820	SRR1553764	43
SRR1553820	SRR1553773	0
SRR1553820	SRR1553774	1
SRR1553820	SRR1553779	43
SRR1553820	SRR1553784	11410
SRR1553820	SRR1553788	2
SRR1553820	SRR1553791	0
SRR1553820	SRR1553792	0
SRR1553820	SRR1553796	11423
SRR1553820	SRR1553797	1
SRR1553820	SRR1553798	43
SRR1553820	SRR1553804	1
SRR1553820	SRR1553816	43
SRR1553820	SRR1553820	0
SRR1553820	SRR1553821	0
SRR1553820	SRR1553826	0
SRR1553820	SRR1553827	0
SRR1553820	SRR1553840	44
SRR1553820	SRR1553850	11428
SRR1553820	SRR1553851	7
SRR1553820	SRR1553855	44
SRR1553820	SRR1553856	0
SRR1553820	SRR1553866	7
SRR1553820	SRR1553867	43
SRR1553820	SRR1553871	11422
SRR1553820	SRR1553882	3
SRR1553820	SRR1553906	8
SRR1553820	SRR1553907	43
SRR1553820	SRR1554256	7
SRR1553820	SRR1554259	4
SRR1553820	SRR1556285	7
SRR1553820	SRR1556286	11401
SRR1553820	SRR1556287	11411
SRR1553820	SRR1556288	8
SRR1553820	SRR1556289	44
SRR1553820	SRR1556290	7
SRR1553820	SRR1556291	8
SRR1553820	SRR1556292	7
SRR1553820	SRR1556293	2
SRR1553820	SRR1556294	2
SRR1553820	SRR1556295	2
SRR1553820	SRR1556296	44
SRR1553820	SRR1556297	2
SRR1553821	SRR1553725	11425
SRR1553821	SRR1553739	8
SRR1553821	SRR1553740	0
SRR1553821	SRR1553750	7
SRR1553821	SRR1553756	0
SRR1553821	SRR1553764	43
SRR1553821	SRR1553773	0
SRR1553821	SRR1553774	1
SRR1553821	SRR1553779	43
SRR1553821	SRR1553784	11410
SRR1553821	SRR1553788	2
SRR1553821	SRR1553791	0
SRR1553821	SRR1553792	0
SRR1553821	SRR1553796	11423
SRR1553821	SRR1553797	1
SRR1553821	SRR1553798	43
SRR1553821	SRR1553804	1
SRR1553821	SRR1553816	43
SRR1553821	SRR1553820	0
SRR1553821	SRR1553821	0
SRR1553821	SRR1553826	0
SRR1553821	SRR1553827	0
SRR1553821	SRR1553840	44
SRR1553821	SRR1553850	11428
SRR1553821	SRR1553851	7
SRR1553821	SRR1553855	44
SRR1553821	SRR1553856	0
SRR1553821	SRR1553866	7
SRR1553821	SRR1553867	43
SRR1553821	SRR1553871	11422
SRR1553821	SRR1553882	3
SRR1553821	SRR1553906	8
SRR1553821	SRR1553907	43
SRR1553821	SRR1554256	7
SRR1553821	SRR1554259	4
SRR1553821	SRR1556285	7
SRR1553821	SRR1556286	11401
SRR1553821	SRR1556287	11411
SRR1553821	SRR1556288	8
SRR1553821	SRR1556289	44
SRR1553821	SRR1556290	7
SRR1553821	SRR1556291	8
SRR1553821	SRR1556292	7
SRR1553821	SRR1556293	2
SRR1553821	SRR1556294	2
SRR1553821	SRR1556295	2
SRR1553821	SRR1556296	44
SRR1553821	SRR1556297	2
SRR1553826	SRR1553725	11425
SRR1553826	SRR1553739	8
SRR1553826	SRR1553740	0
SRR1553826	SRR1553750	7
SRR1553826	SRR1553756	0
SRR1553826	SRR1553764	43
SRR1553826	SRR1553773	0
SRR1553826	SRR1553774	1
SRR1553826	SRR1553779	43
SRR1553826	SRR1553784	11410
SRR1553826	SRR1553788	2
SRR1553826	SRR1553791	0
SRR1553826	SRR1553792	0
SRR1553826	SRR1553796	11423
SRR1553826	SRR1553797	1
SRR1553826	SRR1553798	43
SRR1553826	SRR1553804	1
SRR1553826	SRR1553816	43
SRR1553826	SRR1553820	0
SRR1553826	SRR1553821	0
SRR1553826	SRR1553826	0
SRR1553826	SRR1553827	0
SRR1553826	SRR1553840	44
SRR1553826	SRR1553850	11428
SRR1553826	SRR1553851	7
SRR1553826	SRR1553855	44
SRR1553826	SRR1553856	0
SRR1553826	SRR1553866	7
SRR1553826	SRR1553867	43
SRR1553826	SRR1553871	11422
SRR1553826	SRR1553882	3
SRR1553826	SRR1553906	8
SRR1553826	SRR1553907	43
SRR1553826	SRR1554256	7
SRR1553826	SRR1554259	4
SRR1553826	SRR1556285	7
SRR1553826	SRR1556286	11401
SRR1553826	SRR1556287	11411
SRR1553826	SRR1556288	8
SRR1553826	SRR1556289	44
SRR1553826	SRR1556290	7
SRR1553826	SRR1556291	8
SRR1553826	SRR1556292	7
SRR1553826	SRR1556293	2
SRR1553826	SRR1556294	2
SRR1553826	SRR1556295	2
SRR1553826	SRR1556296	44
SRR1553826	SRR1556297	2
SRR1553827	SRR1553725	11425
SRR1553827	SRR1553739	8
SRR1553827	SRR1553740	0
SRR1553827	SRR1553750	7
SRR1553827	SRR1553756	0
SRR1553827	SRR1553764	43
SRR1553827	SRR1553773	0
SRR1553827	SRR1553774	1
SRR1553827	SRR1553779	43
SRR1553827	SRR1553784	11410
SRR1553827	SRR1553788	2
SRR1553827	SRR1553791	0
SRR1553827	SRR1553792	0
SRR1553827	SRR1553796	11423
SRR1553827	SRR1553797	1
SRR1553827	SRR1553798	43
SRR1553827	SRR1553804	1
SRR1553827	SRR1553816	43
SRR1553827	SRR1553820	0
SRR1553827	SRR1553821	0
SRR1553827	SRR1553826	0
SRR1553827	SRR1553827	0
SRR1553827	SRR1553840	44
SRR1553827	SRR1553850	11428
SRR1553827	SRR1553851	7
SRR1553827	SRR1553855	44
SRR1553827	SRR1553856	0
SRR1553827	SRR1553866	7
SRR1553827	SRR1553867	43
SRR1553827	SRR1553871	11422
SRR1553827	SRR1553882	3
SRR1553827	SRR1553906	8
SRR1553827	SRR1553907	43
SRR1553827	SRR1554256	7
SRR1553827	SRR1554259	4
SRR1553827	SRR1556285	7
SRR1553827	SRR1556286	11401
SRR1553827	SRR1556287	11411
SRR1553827	SRR1556288	8
SRR1553827	SRR1556289	44
SRR1553827	SRR1556290	7
SRR1553827	SRR1556291	8
SRR1553827	SRR1556292	7
SRR1553827	SRR1556293	2
SRR1553827	SRR1556294	2
SRR1553827	SRR1556295	2
SRR1553827	SRR1556296	44
SRR1553827	SRR1556297	2
SRR1553840	SRR1553725	11431
SRR1553840	SRR1553739	42
SRR1553840	SRR1553740	44
SRR1553840	SRR1553750	41
SRR1553840	SRR1553756	44
SRR1553840	SRR1553764	1
SRR1553840	SRR1553773	44
SRR1553840	SRR1553774	45
SRR1553840	SRR1553779	1
SRR1553840	SRR1553784	11418
SRR1553840	SRR1553788	46
SRR1553840	SRR1553791	44
SRR1553840	SRR1553792	44
SRR1553840	SRR1553796	11431
SRR1553840	SRR1553797	45
SRR1553840	SRR1553798	1
SRR1553840	SRR1553804	45
SRR1553840	SRR1553816	1
SRR1553840	SRR1553820	44
SRR1553840	SRR1553821	44
SRR1553840	SRR1553826	44
SRR1553840	SRR1553827	44
SRR1553840	SRR1553840	0
SRR1553840	SRR1553850	11433
SRR1553840	SRR1553851	41
SRR1553840	SRR1553855	2
SRR1553840	SRR1553856	44
SRR1553840	SRR1553866	41
SRR1553840	SRR1553867	1
SRR1553840	SRR1553871	11427
SRR1553840	SRR1553882	47
SRR1553840	SRR1553906	42
SRR1553840	SRR1553907	1
SRR1553840	SRR1554256	41
SRR1553840	SRR1554259	48
SRR1553840	SRR1556285	41
SRR1553840	SRR1556286	11407
SRR1553840	SRR1556287	11416
SRR1553840	SRR1556288	42
SRR1553840	SRR1556289	2
SRR1553840	SRR1556290	41
SRR1553840	SRR1556291	42
SRR1553840	SRR1556292	41
SRR1553840	SRR1556293	46
SRR1553840	SRR1556294	46
SRR1553840	SRR1556295	46
SRR1553840	SRR1556296	2
SRR1553840	SRR1556297	46
SRR1553850	SRR1553725	6
SRR1553850	SRR1553739	11426
SRR1553850	SRR1553740	11428
SRR1553850	SRR1553750	11425
SRR1553850	SRR1553756	11428
SRR1553850	SRR1553764	11432
SRR1553850	SRR1553773	11428
SRR1553850	SRR1553774	11428
SRR1553850	SRR1553779	11432
SRR1553850	SRR1553784	14
SRR1553850	SRR1553788	11430
SRR1553850	SRR1553791	11428
SRR1553850	SRR1553792	11428
SRR1553850	SRR1553796	7
SRR1553850	SRR1553797	11429
SRR1553850	SRR1553798	11432
SRR1553850	SRR1553804	11429
SRR1553850	SRR1553816	11432
SRR1553850	SRR1553820	11428
SRR1553850	SRR1553821	11428
SRR1553850	SRR1553826	11428
SRR1553850	SRR1553827	11428
SRR1553850	SRR1553840	11433
SRR1553850	SRR1553850	0
SRR1553850	SRR1553851	11425
SRR1553850	SRR1553855	11433
SRR1553850	SRR1553856	11428
SRR1553850	SRR1553866	11425
SRR1553850	SRR1553867	11432
SRR1553850	SRR1553871	18
SRR1553850	SRR1553882	11431
SRR1553850	SRR1553906	11426
SRR1553850	SRR1553907	11432
SRR1553850	SRR1554256	11425
SRR1553850	SRR1554259	11431
SRR1553850	SRR1556285	11425
SRR1553850	SRR1556286	22
SRR1553850	SRR1556287	15
SRR1553850	SRR1556288	11426
SRR1553850	SRR1556289	11431
SRR1553850	SRR1556290	11425
SRR1553850	SRR1556291	11426
SRR1553850	SRR1556292	11420
SRR1553850	SRR1556293	11430
SRR1553850	SRR1556294	11430
SRR1553850	SRR1556295	11430
SRR1553850	SRR1556296	11433
SRR1553850	SRR1556297	11429
SRR1553851	SRR1553725	11422
SRR1553851	SRR1553739	1
SRR1553851	SRR1553740	7
SRR1553851	SRR1553750	0
SRR1553851	SRR1553756	7
SRR1553851	SRR1553764	40
SRR1553851	SRR1553773	7
SRR1553851	SRR1553774	8
SRR1553851	SRR1553779	40
SRR1553851	SRR1553784	11407
SRR1553851	SRR1553788	9
SRR1553851	SRR1553791	7
SRR1553851	SRR1553792	7
SRR1553851	SRR1553796	11420
SRR1553851	SRR1553797	8
SRR1553851	SRR1553798	40
SRR1553851	SRR1553804	8
SRR1553851	SRR1553816	40
SRR1553851	SRR1553820	7
SRR1553851	SRR1553821	7
SRR1553851	SRR1553826	7
SRR1553851	SRR1553827	7
SRR1553851	SRR1553840	41
SRR1553851	SRR1553850	11425
SRR1553851	SRR1553851	0
SRR1553851	SRR1553855	41
SRR1553851	SRR1553856	7
SRR1553851	SRR1553866	0
SRR1553851	SRR1553867	40
SRR1553851	SRR1553871	11419
SRR1553851	SRR1553882	10
SRR1553851	SRR1553906	1
SRR1553851	SRR1553907	40
SRR1553851	SRR1554256	0
SRR1553851	SRR1554259	11
SRR1553851	SRR1556285	0
SRR1553851	SRR1556286	11398
SRR1553851	SRR1556287	11408
SRR1553851	SRR1556288	1
SRR1553851	SRR1556289	41
SRR1553851	SRR1556290	0
SRR1553851	SRR1556291	1
SRR1553851	SRR1556292	0
SRR1553851	SRR1556293	9
SRR1553851	SRR1556294	9
SRR1553851	SRR1556295	9
SRR1553851	SRR1556296	41
SRR1553851	SRR1556297	9
SRR1553855	SRR1553725	11431
SRR1553855	SRR1553739	42
SRR1553855	SRR1553740	44
SRR1553855	SRR1553750	41
SRR1553855	SRR1553756	44
SRR1553855	SRR1553764	1
SRR1553855	SRR1553773	44
SRR1553855	SRR1553774	45
SRR1553855	SRR1553779	1
SRR1553855	SRR1553784	11418
SRR1553855	SRR1553788	46
SRR1553855	SRR1553791	44
SRR1553855	SRR1553792	44
SRR1553855	SRR1553796	11431
SRR1553855	SRR1553797	45
SRR1553855	SRR1553798	1
SRR1553855	SRR1553804	45
SRR1553855	SRR1553816	1
SRR1553855	SRR1553820	44
SRR1553855	SRR1553821	44
SRR1553855	SRR1553826	44
SRR1553855	SRR1553827	44
SRR1553855	SRR1553840	2
SRR1553855	SRR1553850	11433
SRR1553855	SRR1553851	41
SRR1553855	SRR1553855	0
SRR1553855	SRR1553856	44
SRR1553855	SRR1553866	41
SRR1553855	SRR1553867	1
SRR1553855	SRR1553871	11427
SRR1553855	SRR1553882	47
SRR1553855	SRR1553906	42
SRR1553855	SRR1553907	1
SRR1553855	SRR1554256	41
SRR1553855	SRR1554259	48
SRR1553855	SRR1556285	41
SRR1553855	SRR1556286	11407
SRR1553855	SRR1556287	11416
SRR1553855	SRR1556288	42
SRR1553855	SRR1556289	2
SRR1553855	SRR1556290	41
SRR1553855	SRR1556291	42
SRR1553855	SRR1556292	41
SRR1553855	SRR1556293	46
SRR1553855	SRR1556294	46
SRR1553855	SRR1556295	46
SRR1553855	SRR1556296	2
SRR1553855	SRR1556297	46
SRR1553856	SRR1553725	11425
SRR1553856	SRR1553739	8
SRR1553856	SRR1553740	0
SRR1553856	SRR1553750	7
SRR1553856	SRR1553756	0
SRR1553856	SRR1553764	43
SRR1553856	SRR1553773	0
SRR1553856	SRR1553774	1
SRR1553856	SRR1553779	43
SRR1553856	SRR1553784	11410
SRR1553856	SRR1553788	2
SRR1553856	SRR1553791	0
SRR1553856	SRR1553792	0
SRR1553856	SRR1553796	11423
SRR1553856	SRR1553797	1
SRR1553856	SRR1553798	43
SRR1553856	SRR1553804	1
SRR1553856	SRR1553816	43
SRR1553856	SRR1553820	0
SRR1553856	SRR1553821	0
SRR1553856	SRR1553826	0
SRR1553856	SRR1553827	0
SRR1553856	SRR1553840	44
SRR1553856	SRR1553850	11428
SRR1553856	SRR1553851	7
SRR1553856	SRR1553855	44
SRR1553856	SRR1553856	0
SRR1553856	SRR1553866	7
SRR1553856	SRR1553867	43
SRR1553856	SRR1553871	11422
SRR1553856	SRR1553882	3
SRR1553856	SRR1553906	8
SRR1553856	SRR1553907	43
SRR1553856	SRR1554256	7
SRR1553856	SRR1554259	4
SRR1553856	SRR1556285	7
SRR1553856	SRR1556286	11401
SRR1553856	SRR1556287	11411
SRR1553856	SRR1556288	8
SRR1553856	SRR1556289	44
SRR1553856	SRR1556290	7
SRR1553856	SRR1556291	8
SRR1553856	SRR1556292	7
SRR1553856	SRR1556293	2
SRR1553856	SRR1556294	2
SRR1553856	SRR1556295	2
SRR1553856	SRR1556296	44
SRR1553856	SRR1556297	2
SRR1553866	SRR1553725	11422
SRR1553866	SRR1553739	1
SRR1553866	SRR1553740	7
SRR1553866	SRR1553750	0
SRR1553866	SRR1553756	7
SRR1553866	SRR1553764	40
SRR1553866	SRR1553773	7
SRR1553866	SRR1553774	8
SRR1553866	SRR1553779	40
SRR1553866	SRR1553784	11407
SRR1553866	SRR1553788	9
SRR1553866	SRR1553791	7
SRR1553866	SRR1553792	7
SRR1553866	SRR1553796	11420
SRR1553866	SRR1553797	8
SRR1553866	SRR1553798	40
SRR1553866	SRR1553804	8
SRR1553866	SRR1553816	40
SRR1553866	SRR1553820	7
SRR1553866	SRR1553821	7
SRR1553866	SRR1553826	7
SRR1553866	SRR1553827	7
SRR1553866	SRR1553840	41
SRR1553866	SRR1553850	11425
SRR1553866	SRR1553851	0
SRR1553866	SRR1553855	41
SRR1553866	SRR1553856	7
SRR1553866	SRR1553866	0
SRR1553866	SRR1553867	40
SRR1553866	SRR1553871	11419
SRR1553866	SRR1553882	10
SRR1553866	SRR1553906	1
SRR1553866	SRR1553907	40
SRR1553866	SRR1554256	0
SRR1553866	SRR1554259	11
SRR1553866	SRR1556285	0
SRR1553866	SRR1556286	11398
SRR1553866	SRR1556287	11408
SRR1553866	SRR1556288	1
SRR1553866	SRR1556289	41
SRR1553866	SRR1556290	0
SRR1553866	SRR1556291	1
SRR1553866	SRR1556292	0
SRR1553866	SRR1556293	9
SRR1553866	SRR1556294	9
SRR1553866	SRR1556295	9
SRR1553866	SRR1556296	41
SRR1553866	SRR1556297	9
SRR1553867	SRR1553725	11430
SRR1553867	SRR1553739	41
SRR1553867	SRR1553740	43
SRR1553867	SRR1553750	40
SRR1553867	SRR1553756	43
SRR1553867	SRR1553764	0
SRR1553867	SRR1553773	43
SRR1553867	SRR1553774	44
SRR1553867	SRR1553779	0
SRR1553867	SRR1553784	11417
SRR1553867	SRR1553788	45
SRR1553867	SRR1553791	43
SRR1553867	SRR1553792	43
SRR1553867	SRR1553796	11430
SRR1553867	SRR1553797	44
SRR1553867	SRR1553798	0
SRR1553867	SRR1553804	44
SRR1553867	SRR1553816	0
SRR1553867	SRR1553820	43
SRR1553867	SRR1553821	43
SRR1553867	SRR1553826	43
SRR1553867	SRR1553827	43
SRR1553867	SRR1553840	1
SRR1553867	SRR1553850	11432
SRR1553867	SRR1553851	40
SRR1553867	SRR1553855	1
SRR1553867	SRR1553856	43
SRR1553867	SRR1553866	40
SRR1553867	SRR1553867	0
SRR1553867	SRR1553871	11426
SRR1553867	SRR1553882	46
SRR1553867	SRR1553906	41
SRR1553867	SRR1553907	0
SRR1553867	SRR1554256	40
SRR1553867	SRR1554259	47
SRR1553867	SRR1556285	40
SRR1553867	SRR1556286	11406
SRR1553867	SRR1556287	11415
SRR1553867	SRR1556288	41
SRR1553867	SRR1556289	1
SRR1553867	SRR1556290	40
SRR1553867	SRR1556291	41
SRR1553867	SRR1556292	40
SRR1553867	SRR1556293	45
SRR1553867	SRR1556294	45
SRR1553867	SRR1556295	45
SRR1553867	SRR1556296	1
SRR1553867	SRR1556297	45
SRR1553871	SRR1553725	14
SRR1553871	SRR1553739	11420
SRR1553871	SRR1553740	11422
SRR1553871	SRR1553750	11419
SRR1553871	SRR1553756	11422
SRR1553871	SRR1553764	11426
SRR1553871	SRR1553773	11422
SRR1553871	SRR1553774	11422
SRR1553871	SRR1553779	11426
SRR1553871	SRR1553784	11
SRR1553871	SRR1553788	11424
SRR1553871	SRR1553791	11422
SRR1553871	SRR1553792	11422
SRR1553871	SRR1553796	14
SRR1553871	SRR1553797	11423
SRR1553871	SRR1553798	11426
SRR1553871	SRR1553804	11423
SRR1553871	SRR1553816	11426
SRR1553871	SRR1553820	11422
SRR1553871	SRR1553821	11422
SRR1553871	SRR1553826	11422
SRR1553871	SRR1553827	11422
SRR1553871	SRR1553840	11427
SRR1553871	SRR1553850	18
SRR1553871	SRR1553851	11419
SRR1553871	SRR1553855	11427
SRR1553871	SRR1553856	11422
SRR1553871	SRR1553866	11419
SRR1553871	SRR1553867	11426
SRR1553871	SRR1553871	0
SRR1553871	SRR1553882	11425
SRR1553871	SRR1553906	11420
SRR1553871	SRR1553907	11426
SRR1553871	SRR1554256	11419
SRR1553871	SRR1554259	11425
SRR1553871	SRR1556285	11418
SRR1553871	SRR1556286	8
SRR1553871	SRR1556287	13
SRR1553871	SRR1556288	11420
SRR1553871	SRR1556289	11425
SRR1553871	SRR1556290	11419
SRR1553871	SRR1556291	11420
SRR1553871	SRR1556292	11414
SRR1553871	SRR1556293	11424
SRR1553871	SRR1556294	11424
SRR1553871	SRR1556295	11424
SRR1553871	SRR1556296	11427
SRR1553871	SRR1556297	11423
SRR1553882	SRR1553725	11428
SRR1553882	SRR1553739	11
SRR1553882	SRR1553740	3
SRR1553882	SRR1553750	10
SRR1553882	SRR1553756	3
SRR1553882	SRR1553764	46
SRR1553882	SRR1553773	3
SRR1553882	SRR1553774	4
SRR1553882	SRR1553779	46
SRR1553882	SRR1553784	11413
SRR1553882	SRR1553788	5
SRR1553882	SRR1553791	3
SRR1553882	SRR1553792	3
SRR1553882	SRR1553796	11426
SRR1553882	SRR1553797	4
SRR1553882	SRR1553798	46
SRR1553882	SRR1553804	4
SRR1553882	SRR1553816	46
SRR1553882	SRR1553820	3
SRR1553882	SRR1553821	3
SRR1553882	SRR1553826	3
SRR1553882	SRR1553827	3
SRR1553882	SRR1553840	47
SRR1553882	SRR1553850	11431
SRR1553882	SRR1553851	10
SRR1553882	SRR1553855	47
SRR1553882	SRR1553856	3
SRR1553882	SRR1553866	10
SRR1553882	SRR1553867	46
SRR1553882	SRR1553871	11425
SRR1553882	SRR1553882	0
SRR1553882	SRR1553906	11
SRR1553882	SRR1553907	46
SRR1553882	SRR1554256	10
SRR1553882	SRR1554259	7
SRR1553882	SRR1556285	10
SRR1553882	SRR1556286	11404
SRR1553882	SRR1556287	11414
SRR1553882	SRR1556288	11
SRR1553882	SRR1556289	47
SRR1553882	SRR1556290	10
SRR1553882	SRR1556291	11
SRR1553882	SRR1556292	10
SRR1553882	SRR1556293	1
SRR1553882	SRR1556294	1
SRR1553882	SRR1556295	1
SRR1553882	SRR1556296	47
SRR1553882	SRR1556297	1
SRR1553906	SRR1553725	11423
SRR1553906	SRR1553739	2
SRR1553906	SRR1553740	8
SRR1553906	SRR1553750	1
SRR1553906	SRR1553756	8
SRR1553906	SRR1553764	41
SRR1553906	SRR1553773	8
SRR1553906	SRR1553774	9
SRR1553906	SRR1553779	41
SRR1553906	SRR1553784	11408
SRR1553906	SRR1553788	10
SRR1553906	SRR1553791	8
SRR1553906	SRR1553792	8
SRR1553906	SRR1553796	11421
SRR1553906	SRR1553797	9
SRR1553906	SRR1553798	41
SRR1553906	SRR1553804	9
SRR1553906	SRR1553816	41
SRR1553906	SRR1553820	8
SRR1553906	SRR1553821	8
SRR1553906	SRR1553826	8
SRR1553906	SRR1553827	8
SRR1553906	SRR1553840	42
SRR1553906	SRR1553850	11426
SRR1553906	SRR1553851	1
SRR1553906	SRR1553855	42
SRR1553906	SRR1553856	8
SRR1553906	SRR1553866	1
SRR1553906	SRR1553867	41
SRR1553906	SRR1553871	11420
SRR1553906	SRR1553882	11
SRR1553906	SRR1553906	0
SRR1553906	SRR1553907	41
SRR1553906	SRR1554256	1
SRR1553906	SRR1554259	12
SRR1553906	SRR1556285	1
SRR1553906	SRR1556286	11399
SRR1553906	SRR1556287	11409
SRR1553906	SRR1556288	2
SRR1553906	SRR1556289	42
SRR1553906	SRR1556290	1
SRR1553906	SRR1556291	2
SRR1553906	SRR1556292	1
SRR1553906	SRR1556293	10
SRR1553906	SRR1556294	10
SRR1553906	SRR1556295	10
SRR1553906	SRR1556296	42
SRR1553906	SRR1556297	10
SRR1553907	SRR1553725	11430
SRR1553907	SRR1553739	41
SRR1553907	SRR1553740	43
SRR1553907	SRR1553750	40
SRR1553907	SRR1553756	43
SRR1553907	SRR1553764	0
SRR1553907	SRR1553773	43
SRR1553907	SRR1553774	44
SRR1553907	SRR1553779	0
SRR1553907	SRR1553784	11417
SRR1553907	SRR1553788	45
SRR1553907	SRR1553791	43
SRR1553907	SRR1553792	43
SRR1553907	SRR1553796	11430
SRR1553907	SRR1553797	44
SRR1553907	SRR1553798	0
SRR1553907	SRR1553804	44
SRR1553907	SRR1553816	0
SRR1553907	SRR1553820	43
SRR1553907	SRR1553821	43
SRR1553907	SRR1553826	43
SRR1553907	SRR1553827	43
SRR1553907	SRR1553840	1
SRR1553907	SRR1553850	11432
SRR1553907	SRR1553851	40
SRR1553907	SRR1553855	1
SRR1553907	SRR1553856	43
SRR1553907	SRR1553866	40
SRR1553907	SRR1553867	0
SRR1553907	SRR1553871	11426
SRR1553907	SRR1553882	46
SRR1553907	SRR1553906	41
SRR1553907	SRR1553907	0
SRR1553907	SRR1554256	40
SRR1553907	SRR1554259	47
SRR1553907	SRR1556285	40
SRR1553907	SRR1556286	11406
SRR1553907	SRR1556287	11415
SRR1553907	SRR1556288	41
SRR1553907	SRR1556289	1
SRR1553907	SRR1556290	40
SRR1553907	SRR1556291	41
SRR1553907	SRR1556292	40
SRR1553907	SRR1556293	45
SRR1553907	SRR1556294	45
SRR1553907	SRR1556295	45
SRR1553907	SRR1556296	1
SRR1553907	SRR1556297	45
SRR1554256	SRR1553725	11422
SRR1554256	SRR1553739	1
SRR1554256	SRR1553740	7
SRR1554256	SRR1553750	0
SRR1554256	SRR1553756	7
SRR1554256	SRR1553764	40
SRR1554256	SRR1553773	7
SRR1554256	SRR1553774	8
SRR1554256	SRR1553779	40
SRR1554256	SRR1553784	11407
SRR1554256	SRR1553788	9
SRR1554256	SRR1553791	7
SRR1554256	SRR1553792	7
SRR1554256	SRR1553796	11420
SRR1554256	SRR1553797	8
SRR1554256	SRR1553798	40
SRR1554256	SRR1553804	8
SRR1554256	SRR1553816	40
SRR1554256	SRR1553820	7
SRR1554256	SRR1553821	7
SRR1554256	SRR1553826	7
SRR1554256	SRR1553827	7
SRR1554256	SRR1553840	41
SRR1554256	SRR1553850	11425
SRR1554256	SRR1553851	0
SRR1554256	SRR1553855	41
SRR1554256	SRR1553856	7
SRR1554256	SRR1553866	0
SRR1554256	SRR1553867	40
SRR1554256	SRR1553871	11419
SRR1554256	SRR1553882	10
SRR1554256	SRR1553906	1
SRR1554256	SRR1553907	40
SRR1554256	SRR1554256	0
SRR1554256	SRR1554259	11
SRR1554256	SRR1556285	0
SRR1554256	SRR1556286	11398
SRR1554256	SRR1556287	11408
SRR1554256	SRR1556288	1
SRR1554256	SRR1556289	41
SRR1554256	SRR1556290	0
SRR1554256	SRR1556291	1
SRR1554256	SRR1556292	0
SRR1554256	SRR1556293	9
SRR1554256	SRR1556294	9
SRR1554256	SRR1556295	9
SRR1554256	SRR1556296	41
SRR1554256	SRR1556297	9
SRR1554259	SRR1553725	11428
SRR1554259	SRR1553739	12
SRR1554259	SRR1553740	4
SRR1554259	SRR1553750	11
SRR1554259	SRR1553756	4
SRR1554259	SRR1553764	47
SRR1554259	SRR1553773	4
SRR1554259	SRR1553774	5
SRR1554259	SRR1553779	47
SRR1554259	SRR1553784	11413
SRR1554259	SRR1553788	6
SRR1554259	SRR1553791	4
SRR1554259	SRR1553792	4
SRR1554259	SRR1553796	11426
SRR1554259	SRR1553797	5
SRR1554259	SRR1553798	47
SRR1554259	SRR1553804	5
SRR1554259	SRR1553816	47
SRR1554259	SRR1553820	4
SRR1554259	SRR1553821	4
SRR1554259	SRR1553826	4
SRR1554259	SRR1553827	4
SRR1554259	SRR1553840	48
SRR1554259	SRR1553850	11431
SRR1554259	SRR1553851	11
SRR1554259	SRR1553855	48
SRR1554259	SRR1553856	4
SRR1554259	SRR1553866	11
SRR1554259	SRR1553867	47
SRR1554259	SRR1553871	11425
SRR1554259	SRR1553882	7
SRR1554259	SRR1553906	12
SRR1554259	SRR1553907	47
SRR1554259	SRR1554256	11
SRR1554259	SRR1554259	0
SRR1554259	SRR1556285	11
SRR1554259	SRR1556286	11404
SRR1554259	SRR1556287	11414
SRR1554259	SRR1556288	12
SRR1554259	SRR1556289	48
SRR1554259	SRR1556290	11
SRR1554259	SRR1556291	12
SRR1554259	SRR1556292	11
SRR1554259	SRR1556293	6
SRR1554259	SRR1556294	6
SRR1554259	SRR1556295	6
SRR1554259	SRR1556296	48
SRR1554259	SRR1556297	6
SRR1556285	SRR1553725	11421
SRR1556285	SRR1553739	1
SRR1556285	SRR1553740	7
SRR1556285	SRR1553750	0
SRR1556285	SRR1553756	7
SRR1556285	SRR1553764	40
SRR1556285	SRR1553773	7
SRR1556285	SRR1553774	8
SRR1556285	SRR1553779	40
SRR1556285	SRR1553784	11406
SRR1556285	SRR1553788	9
SRR1556285	SRR1553791	7
SRR1556285	SRR1553792	7
SRR1556285	SRR1553796	11419
SRR1556285	SRR1553797	8
SRR1556285	SRR1553798	40
SRR1556285	SRR1553804	8
SRR1556285	SRR1553816	40
SRR1556285	SRR1553820	7
SRR1556285	SRR1553821	7
SRR1556285	SRR1553826	7
SRR1556285	SRR1553827	7
SRR1556285	SRR1553840	41
SRR1556285	SRR1553850	11425
SRR1556285	SRR1553851	0
SRR1556285	SRR1553855	41
SRR1556285	SRR1553856	7
SRR1556285	SRR1553866	0
SRR1556285	SRR1553867	40
SRR1556285	SRR1553871	11418
SRR1556285	SRR1553882	10
SRR1556285	SRR1553906	1
SRR1556285	SRR1553907	40
SRR1556285	SRR1554256	0
SRR1556285	SRR1554259	11
SRR1556285	SRR1556285	0
SRR1556285	SRR1556286	11397
SRR1556285	SRR1556287	11407
SRR1556285	SRR1556288	1
SRR1556285	SRR1556289	41
SRR1556285	SRR1556290	0
